 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 754.196    2.45991e-02    2.45175e-02    8.15932e-05
 755.017    2.44763e-02    2.44365e-02    3.98353e-05
 755.839    2.41832e-02    2.42573e-02   -7.40941e-05
 756.660    2.37635e-02    2.38451e-02   -8.15986e-05
 757.481    2.28973e-02    2.28080e-02    8.92921e-05
 758.302    2.05679e-02    2.06450e-02   -7.71364e-05
 759.123    1.74050e-02    1.73720e-02    3.30496e-05
 759.945    1.40441e-02    1.40042e-02    3.99463e-05
 760.765    1.18792e-02    1.18960e-02   -1.68088e-05
 761.586    1.14663e-02    1.14631e-02    3.17786e-06
 762.407    1.20591e-02    1.20434e-02    1.57295e-05
 763.228    1.30171e-02    1.29603e-02    5.68305e-05
 764.049    1.40938e-02    1.41080e-02   -1.42322e-05
 764.869    1.54515e-02    1.55614e-02   -1.09909e-04
 765.690    1.71620e-02    1.72022e-02   -4.01890e-05
 766.510    1.88045e-02    1.88102e-02   -5.74113e-06
 767.331    2.02442e-02    2.02212e-02    2.30353e-05
 768.151    2.14206e-02    2.13406e-02    8.00298e-05
 768.971    2.21424e-02    2.21294e-02    1.30304e-05
 769.792    2.25655e-02    2.26191e-02   -5.36160e-05
 770.612    2.29455e-02    2.28871e-02    5.84130e-05
 771.432    2.29734e-02    2.30111e-02   -3.76937e-05
 772.252    2.31938e-02    2.30477e-02    1.46075e-04
 773.072    2.30810e-02    2.30314e-02    4.95553e-05
 773.892    2.28406e-02    2.29886e-02   -1.48016e-04
 774.711    2.28222e-02    2.29612e-02   -1.38973e-04
 775.531    2.30420e-02    2.29846e-02    5.73676e-05
 776.351    2.29863e-02    2.30327e-02   -4.63579e-05
 777.170    2.29843e-02    2.30449e-02   -6.06254e-05
 777.989    2.30196e-02    2.30002e-02    1.94460e-05
 778.809    2.30112e-02    2.29207e-02    9.04591e-05
 779.628    2.30222e-02    2.28339e-02    1.88264e-04
 780.447    2.27670e-02    2.27586e-02    8.35010e-06
 781.266    2.27725e-02    2.26949e-02    7.76394e-05
 782.085    2.25405e-02    2.26234e-02   -8.29384e-05
 782.904    2.24935e-02    2.25301e-02   -3.66332e-05
 783.723    2.23859e-02    2.24136e-02   -2.77465e-05
 784.542    2.23184e-02    2.22649e-02    5.34729e-05
